poll_date,decision_date,decision,president,approval_rating
1990-01-24,1990-02-07,MAINTAIN,George H.W. Bush,80.0
1990-03-13,1990-03-27,MAINTAIN,George H.W. Bush,74.0
1990-05-01,1990-05-15,MAINTAIN,George H.W. Bush,67.0
1990-06-19,1990-07-03,MAINTAIN,George H.W. Bush,69.0
1990-08-07,1990-08-21,MAINTAIN,George H.W. Bush,70.0
1990-09-18,1990-10-02,MAINTAIN,George H.W. Bush,68.0
1990-10-30,1990-11-13,LOWER,George H.W. Bush,55.0
1990-12-04,1990-12-18,LOWER,George H.W. Bush,60.5
1991-01-23,1991-02-06,MAINTAIN,George H.W. Bush,82.5
1991-03-12,1991-03-26,MAINTAIN,George H.W. Bush,85.0
1991-04-30,1991-05-14,MAINTAIN,George H.W. Bush,74.0
1991-06-19,1991-07-03,MAINTAIN,George H.W. Bush,72.0
1991-08-06,1991-08-20,MAINTAIN,George H.W. Bush,70.0
1991-09-17,1991-10-01,MAINTAIN,George H.W. Bush,66.0
1991-10-22,1991-11-05,LOWER,George H.W. Bush,60.5
1991-12-03,1991-12-17,MAINTAIN,George H.W. Bush,51.0
1992-01-22,1992-02-05,MAINTAIN,George H.W. Bush,47.0
1992-03-17,1992-03-31,MAINTAIN,George H.W. Bush,41.0
1992-05-05,1992-05-19,MAINTAIN,George H.W. Bush,42.0
1992-06-17,1992-07-01,LOWER,George H.W. Bush,38.0
1992-08-04,1992-08-18,MAINTAIN,George H.W. Bush,29.0
1992-09-22,1992-10-06,MAINTAIN,George H.W. Bush,34.0
1992-11-03,1992-11-17,MAINTAIN,George H.W. Bush,34.0
1992-12-08,1992-12-22,MAINTAIN,George H.W. Bush,49.0
1993-01-20,1993-02-03,MAINTAIN,Bill Clinton,54.33
1993-03-09,1993-03-23,MAINTAIN,Bill Clinton,54.33
1993-05-04,1993-05-18,MAINTAIN,Bill Clinton,47.0
1993-06-23,1993-07-07,MAINTAIN,Bill Clinton,45.0
1993-08-03,1993-08-17,MAINTAIN,Bill Clinton,42.6
1993-09-07,1993-09-21,MAINTAIN,Bill Clinton,46.67
1993-11-02,1993-11-16,MAINTAIN,Bill Clinton,47.0
1993-12-07,1993-12-21,MAINTAIN,Bill Clinton,54.75
1994-01-21,1994-02-04,RAISE,Bill Clinton,56.0
1994-03-08,1994-03-22,RAISE,Bill Clinton,50.8
1994-04-04,1994-04-18,RAISE,Bill Clinton,51.0
1994-05-03,1994-05-17,RAISE,Bill Clinton,52.0
1994-06-22,1994-07-06,MAINTAIN,Bill Clinton,46.0
1994-08-02,1994-08-16,RAISE,Bill Clinton,43.8
1994-09-13,1994-09-27,MAINTAIN,Bill Clinton,42.88
1994-11-01,1994-11-15,RAISE,Bill Clinton,44.83
1994-12-06,1994-12-20,MAINTAIN,Bill Clinton,42.5
1995-01-18,1995-02-01,RAISE,Bill Clinton,47.25
1995-03-14,1995-03-28,MAINTAIN,Bill Clinton,47.25
1995-05-09,1995-05-23,MAINTAIN,Bill Clinton,51.4
1995-06-22,1995-07-06,LOWER,Bill Clinton,47.0
1995-08-08,1995-08-22,MAINTAIN,Bill Clinton,46.5
1995-09-12,1995-09-26,MAINTAIN,Bill Clinton,46.75
1995-11-01,1995-11-15,MAINTAIN,Bill Clinton,53.0
1995-12-05,1995-12-19,LOWER,Bill Clinton,51.0
1996-01-17,1996-01-31,LOWER,Bill Clinton,47.67
1996-03-12,1996-03-26,MAINTAIN,Bill Clinton,52.5
1996-05-07,1996-05-21,MAINTAIN,Bill Clinton,53.8
1996-06-19,1996-07-03,MAINTAIN,Bill Clinton,54.75
1996-08-06,1996-08-20,MAINTAIN,Bill Clinton,54.14
1996-09-10,1996-09-24,MAINTAIN,Bill Clinton,55.0
1996-10-30,1996-11-13,MAINTAIN,Bill Clinton,54.5
1996-12-03,1996-12-17,MAINTAIN,Bill Clinton,60.0
1997-01-22,1997-02-05,MAINTAIN,Bill Clinton,59.75
1997-03-11,1997-03-25,RAISE,Bill Clinton,57.0
1997-05-06,1997-05-20,MAINTAIN,Bill Clinton,58.0
1997-06-18,1997-07-02,MAINTAIN,Bill Clinton,56.5
1997-08-05,1997-08-19,MAINTAIN,Bill Clinton,58.67
1997-09-16,1997-09-30,MAINTAIN,Bill Clinton,58.0
1997-10-29,1997-11-12,MAINTAIN,Bill Clinton,58.0
1997-12-02,1997-12-16,MAINTAIN,Bill Clinton,59.0
1998-01-21,1998-02-04,MAINTAIN,Bill Clinton,63.12
1998-03-17,1998-03-31,MAINTAIN,Bill Clinton,66.33
1998-05-05,1998-05-19,MAINTAIN,Bill Clinton,63.25
1998-06-17,1998-07-01,MAINTAIN,Bill Clinton,61.67
1998-08-04,1998-08-18,MAINTAIN,Bill Clinton,64.64
1998-09-15,1998-09-29,LOWER,Bill Clinton,61.78
1998-10-01,1998-10-15,LOWER,Bill Clinton,63.75
1998-11-03,1998-11-17,LOWER,Bill Clinton,64.0
1998-12-08,1998-12-22,MAINTAIN,Bill Clinton,65.5
1999-01-20,1999-02-03,MAINTAIN,Bill Clinton,65.86
1999-03-16,1999-03-30,MAINTAIN,Bill Clinton,61.2
1999-05-04,1999-05-18,MAINTAIN,Bill Clinton,57.29
1999-06-16,1999-06-30,RAISE,Bill Clinton,57.25
1999-08-10,1999-08-24,RAISE,Bill Clinton,57.6
1999-09-21,1999-10-05,MAINTAIN,Bill Clinton,58.4
1999-11-02,1999-11-16,RAISE,Bill Clinton,58.75
1999-12-07,1999-12-21,MAINTAIN,Bill Clinton,57.83
2000-01-19,2000-02-02,RAISE,Bill Clinton,62.8
2000-03-07,2000-03-21,RAISE,Bill Clinton,59.83
2000-05-02,2000-05-16,RAISE,Bill Clinton,58.71
2000-06-14,2000-06-28,MAINTAIN,Bill Clinton,57.5
2000-08-08,2000-08-22,MAINTAIN,Bill Clinton,60.45
2000-09-19,2000-10-03,MAINTAIN,Bill Clinton,56.33
2000-11-01,2000-11-15,MAINTAIN,Bill Clinton,60.5
2000-12-05,2000-12-19,MAINTAIN,Bill Clinton,64.8
2000-12-20,2001-01-03,LOWER,Bill Clinton,66.0
2001-01-17,2001-01-31,LOWER,Bill Clinton,57.0
2001-03-06,2001-03-20,LOWER,George W. Bush,57.2
2001-04-04,2001-04-18,LOWER,George W. Bush,53.8
2001-05-01,2001-05-15,LOWER,George W. Bush,54.67
2001-06-13,2001-06-27,LOWER,George W. Bush,52.5
2001-08-07,2001-08-21,LOWER,George W. Bush,54.67
2001-09-03,2001-09-17,LOWER,George W. Bush,75.2
2001-09-18,2001-10-02,LOWER,George W. Bush,83.55
2001-10-23,2001-11-06,LOWER,George W. Bush,85.88
2001-11-27,2001-12-11,LOWER,George W. Bush,85.0
2002-01-16,2002-01-30,MAINTAIN,George W. Bush,79.56
2002-03-05,2002-03-19,MAINTAIN,George W. Bush,73.0
2002-04-23,2002-05-07,MAINTAIN,George W. Bush,71.67
2002-06-12,2002-06-26,MAINTAIN,George W. Bush,72.0
2002-07-30,2002-08-13,MAINTAIN,George W. Bush,66.43
2002-09-10,2002-09-24,MAINTAIN,George W. Bush,61.83
2002-10-23,2002-11-06,LOWER,George W. Bush,60.2
2002-11-26,2002-12-10,MAINTAIN,George W. Bush,63.29
2003-01-15,2003-01-29,MAINTAIN,George W. Bush,58.0
2003-03-04,2003-03-18,MAINTAIN,George W. Bush,55.54
2003-04-22,2003-05-06,MAINTAIN,George W. Bush,66.43
2003-06-11,2003-06-25,LOWER,George W. Bush,60.0
2003-07-29,2003-08-12,MAINTAIN,George W. Bush,53.5
2003-09-02,2003-09-16,MAINTAIN,George W. Bush,54.1
2003-10-14,2003-10-28,MAINTAIN,George W. Bush,51.62
2003-11-25,2003-12-09,MAINTAIN,George W. Bush,51.8
2004-01-14,2004-01-28,MAINTAIN,George W. Bush,52.89
2004-03-02,2004-03-16,MAINTAIN,George W. Bush,48.38
2004-04-20,2004-05-04,MAINTAIN,George W. Bush,47.78
2004-06-16,2004-06-30,RAISE,George W. Bush,47.0
2004-07-27,2004-08-10,RAISE,George W. Bush,45.17
2004-09-07,2004-09-21,RAISE,George W. Bush,50.21
2004-10-27,2004-11-10,RAISE,George W. Bush,50.38
2004-11-30,2004-12-14,RAISE,George W. Bush,49.4
2005-01-19,2005-02-02,RAISE,George W. Bush,50.2
2005-03-08,2005-03-22,RAISE,George W. Bush,48.64
2005-04-19,2005-05-03,RAISE,George W. Bush,47.5
2005-06-16,2005-06-30,RAISE,George W. Bush,46.29
2005-07-26,2005-08-09,RAISE,George W. Bush,45.5
2005-09-06,2005-09-20,RAISE,George W. Bush,41.69
2005-10-18,2005-11-01,RAISE,George W. Bush,39.89
2005-11-29,2005-12-13,RAISE,George W. Bush,41.1
2006-01-17,2006-01-31,RAISE,George W. Bush,41.67
2006-03-14,2006-03-28,RAISE,George W. Bush,38.0
2006-04-26,2006-05-10,RAISE,George W. Bush,32.86
2006-06-15,2006-06-29,RAISE,George W. Bush,38.5
2006-07-25,2006-08-08,MAINTAIN,George W. Bush,38.33
2006-09-06,2006-09-20,MAINTAIN,George W. Bush,41.36
2006-10-11,2006-10-25,MAINTAIN,George W. Bush,37.17
2006-11-28,2006-12-12,MAINTAIN,George W. Bush,36.67
2007-01-17,2007-01-31,MAINTAIN,George W. Bush,33.9
2007-03-07,2007-03-21,MAINTAIN,George W. Bush,34.56
2007-04-25,2007-05-09,MAINTAIN,George W. Bush,33.6
2007-06-14,2007-06-28,MAINTAIN,George W. Bush,29.17
2007-07-24,2007-08-07,MAINTAIN,George W. Bush,32.0
2007-08-03,2007-08-17,MAINTAIN,George W. Bush,32.0
2007-09-04,2007-09-18,LOWER,George W. Bush,33.17
2007-10-17,2007-10-31,LOWER,George W. Bush,33.29
2007-11-27,2007-12-11,LOWER,George W. Bush,33.0
2008-01-08,2008-01-22,LOWER,George W. Bush,32.5
2008-01-16,2008-01-30,LOWER,George W. Bush,33.4
2008-03-04,2008-03-18,LOWER,George W. Bush,31.0
2008-04-16,2008-04-30,LOWER,George W. Bush,28.88
2008-06-11,2008-06-25,MAINTAIN,George W. Bush,28.29
2008-07-22,2008-08-05,MAINTAIN,George W. Bush,28.5
2008-09-02,2008-09-16,MAINTAIN,George W. Bush,30.9
2008-09-24,2008-10-08,LOWER,George W. Bush,24.6
2008-10-15,2008-10-29,LOWER,George W. Bush,25.73
2008-12-02,2008-12-16,LOWER,George W. Bush,28.0
2009-01-14,2009-01-28,MAINTAIN,Barack Obama,52.43
2009-03-04,2009-03-18,MAINTAIN,Barack Obama,61.77
2009-04-15,2009-04-29,MAINTAIN,Barack Obama,62.93
2009-06-10,2009-06-24,MAINTAIN,Barack Obama,59.58
2009-07-29,2009-08-12,MAINTAIN,Barack Obama,54.3
2009-09-09,2009-09-23,MAINTAIN,Barack Obama,52.93
2009-10-21,2009-11-04,MAINTAIN,Barack Obama,52.12
2009-12-02,2009-12-16,MAINTAIN,Barack Obama,48.85
2010-01-13,2010-01-27,MAINTAIN,Barack Obama,48.85
2010-03-02,2010-03-16,MAINTAIN,Barack Obama,47.44
2010-04-14,2010-04-28,MAINTAIN,Barack Obama,48.08
2010-06-09,2010-06-23,MAINTAIN,Barack Obama,46.71
2010-07-27,2010-08-10,MAINTAIN,Barack Obama,45.23
2010-09-07,2010-09-21,MAINTAIN,Barack Obama,44.8
2010-10-20,2010-11-03,MAINTAIN,Barack Obama,45.35
2010-11-30,2010-12-14,MAINTAIN,Barack Obama,45.5
2011-01-12,2011-01-26,MAINTAIN,Barack Obama,50.15
2011-03-01,2011-03-15,MAINTAIN,Barack Obama,47.75
2011-04-13,2011-04-27,MAINTAIN,Barack Obama,44.67
2011-06-08,2011-06-22,MAINTAIN,Barack Obama,46.23
2011-07-26,2011-08-09,MAINTAIN,Barack Obama,42.83
2011-09-07,2011-09-21,MAINTAIN,Barack Obama,41.86
2011-10-19,2011-11-02,MAINTAIN,Barack Obama,42.9
2011-11-29,2011-12-13,MAINTAIN,Barack Obama,44.2
2012-01-11,2012-01-25,MAINTAIN,Barack Obama,45.14
2012-02-28,2012-03-13,MAINTAIN,Barack Obama,47.36
2012-04-11,2012-04-25,MAINTAIN,Barack Obama,47.0
2012-06-06,2012-06-20,MAINTAIN,Barack Obama,47.0
2012-07-18,2012-08-01,MAINTAIN,Barack Obama,46.78
2012-08-30,2012-09-13,MAINTAIN,Barack Obama,49.17
2012-10-10,2012-10-24,MAINTAIN,Barack Obama,49.33
2012-11-28,2012-12-12,MAINTAIN,Barack Obama,51.71
2013-01-16,2013-01-30,MAINTAIN,Barack Obama,50.86
2013-03-06,2013-03-20,MAINTAIN,Barack Obama,48.07
2013-04-17,2013-05-01,MAINTAIN,Barack Obama,49.27
2013-06-05,2013-06-19,MAINTAIN,Barack Obama,46.78
2013-07-17,2013-07-31,MAINTAIN,Barack Obama,46.25
2013-09-04,2013-09-18,MAINTAIN,Barack Obama,44.0
2013-10-16,2013-10-30,MAINTAIN,Barack Obama,43.64
2013-12-04,2013-12-18,MAINTAIN,Barack Obama,42.4
2014-01-15,2014-01-29,MAINTAIN,Barack Obama,42.77
2014-03-05,2014-03-19,MAINTAIN,Barack Obama,43.8
2014-04-16,2014-04-30,MAINTAIN,Barack Obama,44.0
2014-06-04,2014-06-18,MAINTAIN,Barack Obama,42.88
2014-07-16,2014-07-30,MAINTAIN,Barack Obama,42.0
2014-09-03,2014-09-17,MAINTAIN,Barack Obama,40.27
2014-10-15,2014-10-29,MAINTAIN,Barack Obama,42.06
2014-12-03,2014-12-17,MAINTAIN,Barack Obama,42.81
2015-01-14,2015-01-28,MAINTAIN,Barack Obama,46.7
2015-03-04,2015-03-18,MAINTAIN,Barack Obama,46.0
2015-04-15,2015-04-29,MAINTAIN,Barack Obama,45.44
2015-06-03,2015-06-17,MAINTAIN,Barack Obama,45.75
2015-07-15,2015-07-29,MAINTAIN,Barack Obama,46.27
2015-09-03,2015-09-17,MAINTAIN,Barack Obama,46.5
2015-10-14,2015-10-28,MAINTAIN,Barack Obama,47.11
2015-12-02,2015-12-16,RAISE,Barack Obama,45.5
2016-01-13,2016-01-27,MAINTAIN,Barack Obama,47.5
2016-03-02,2016-03-16,MAINTAIN,Barack Obama,50.43
2016-04-13,2016-04-27,MAINTAIN,Barack Obama,49.0
2016-06-01,2016-06-15,MAINTAIN,Barack Obama,51.89
2016-07-13,2016-07-27,MAINTAIN,Barack Obama,50.6
2016-09-07,2016-09-21,MAINTAIN,Barack Obama,51.82
2016-10-19,2016-11-02,MAINTAIN,Barack Obama,53.9
2016-11-30,2016-12-14,RAISE,Barack Obama,54.88
2017-01-18,2017-02-01,MAINTAIN,Donald Trump,47.11
2017-03-01,2017-03-15,RAISE,Donald Trump,44.45
2017-04-19,2017-05-03,MAINTAIN,Donald Trump,42.86
2017-05-31,2017-06-14,RAISE,Donald Trump,39.49
2017-07-12,2017-07-26,MAINTAIN,Donald Trump,39.16
2017-09-06,2017-09-20,MAINTAIN,Donald Trump,39.6
2017-10-18,2017-11-01,MAINTAIN,Donald Trump,37.97
2017-11-29,2017-12-13,RAISE,Donald Trump,37.48
2018-01-17,2018-01-31,MAINTAIN,Donald Trump,40.14
2018-03-07,2018-03-21,RAISE,Donald Trump,41.55
2018-04-18,2018-05-02,MAINTAIN,Donald Trump,42.15
2018-05-30,2018-06-13,RAISE,Donald Trump,42.28
2018-07-18,2018-08-01,MAINTAIN,Donald Trump,42.42
2018-09-12,2018-09-26,RAISE,Donald Trump,42.52
2018-10-25,2018-11-08,MAINTAIN,Donald Trump,43.66
2018-12-05,2018-12-19,RAISE,Donald Trump,44.13
2019-01-16,2019-01-30,MAINTAIN,Donald Trump,41.05
2019-03-06,2019-03-20,MAINTAIN,Donald Trump,43.2
2019-04-17,2019-05-01,MAINTAIN,Donald Trump,43.67
2019-06-05,2019-06-19,MAINTAIN,Donald Trump,44.32
2019-07-17,2019-07-31,LOWER,Donald Trump,44.39
2019-09-04,2019-09-18,LOWER,Donald Trump,43.46
2019-10-16,2019-10-30,LOWER,Donald Trump,41.56
2019-11-27,2019-12-11,MAINTAIN,Donald Trump,42.34
2020-01-15,2020-01-29,MAINTAIN,Donald Trump,43.09
2020-02-18,2020-03-03,LOWER,Donald Trump,43.35
2020-03-01,2020-03-15,LOWER,Donald Trump,43.38
2020-04-15,2020-04-29,MAINTAIN,Donald Trump,44.09
2020-05-27,2020-06-10,MAINTAIN,Donald Trump,41.85
2020-07-15,2020-07-29,MAINTAIN,Donald Trump,41.51
2020-09-02,2020-09-16,MAINTAIN,Donald Trump,43.29
2020-10-22,2020-11-05,MAINTAIN,Donald Trump,45.07
2020-12-02,2020-12-16,MAINTAIN,Donald Trump,43.49
2021-01-13,2021-01-27,MAINTAIN,Donald Trump,39.5
2021-03-03,2021-03-17,MAINTAIN,Joe Biden,52.2
2021-04-14,2021-04-28,MAINTAIN,Joe Biden,54.57
2021-06-02,2021-06-16,MAINTAIN,Joe Biden,53.25
2021-07-14,2021-07-28,MAINTAIN,Joe Biden,53.83
2021-09-08,2021-09-22,MAINTAIN,Joe Biden,46.0
2021-10-20,2021-11-03,MAINTAIN,Joe Biden,46.2
2021-12-01,2021-12-15,MAINTAIN,Joe Biden,44.5
2022-01-12,2022-01-26,MAINTAIN,Joe Biden,42.29
2022-03-02,2022-03-16,RAISE,Joe Biden,41.2
2022-04-20,2022-05-04,RAISE,Joe Biden,40.71
2022-06-01,2022-06-15,RAISE,Joe Biden,38.33
2022-07-13,2022-07-27,RAISE,Joe Biden,36.86
2022-09-07,2022-09-21,RAISE,Joe Biden,42.88
2022-10-19,2022-11-02,RAISE,Joe Biden,40.0
2022-11-30,2022-12-14,RAISE,Joe Biden,43.0
2023-01-18,2023-02-01,RAISE,Joe Biden,42.11
2023-03-08,2023-03-22,RAISE,Joe Biden,40.75
2023-04-19,2023-05-03,RAISE,Joe Biden,41.0
2023-05-31,2023-06-14,MAINTAIN,Joe Biden,39.25
2023-07-12,2023-07-26,RAISE,Joe Biden,40.33
2023-09-06,2023-09-20,MAINTAIN,Joe Biden,39.0
2023-10-18,2023-11-01,MAINTAIN,Joe Biden,38.5
2023-11-29,2023-12-13,MAINTAIN,Joe Biden,38.5
2024-01-17,2024-01-31,MAINTAIN,Joe Biden,38.25
2024-03-06,2024-03-20,MAINTAIN,Joe Biden,40.0
2024-04-17,2024-05-01,MAINTAIN,Joe Biden,38.0
2024-05-29,2024-06-12,MAINTAIN,Joe Biden,39.0
2024-07-17,2024-07-31,MAINTAIN,Joe Biden,38.8
2024-09-04,2024-09-18,LOWER,Joe Biden,41.5
2024-10-24,2024-11-07,LOWER,Joe Biden,38.0
2024-12-04,2024-12-18,LOWER,Joe Biden,37.25
2025-01-15,2025-01-29,MAINTAIN,Joe Biden,38.5
2025-03-05,2025-03-19,MAINTAIN,Joe Biden,37.0
2025-04-23,2025-05-07,MAINTAIN,Joe Biden,37.0
2025-06-04,2025-06-18,MAINTAIN,Joe Biden,37.0
2025-07-16,2025-07-30,MAINTAIN,Joe Biden,37.0
2025-09-03,2025-09-17,LOWER,Joe Biden,37.0
2025-10-22,2025-11-05,MAINTAIN,Joe Biden,37.0
2025-12-03,2025-12-17,MAINTAIN,Joe Biden,37.0
